Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Sputnik 8K74PS | Sputnik 1,Launch Successful,Soviet Space Program,Sputnik 8K74PS,Sputnik 1,10/04/1957 7:28 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Sputnik 8K74PS | Sputnik 2,Launch Successful,Soviet Space Program,Sputnik 8K74PS,Sputnik 2,11/03/1957 2:30 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,12/06/1957 4:44 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Juno-I | Explorer 1,Launch Successful,Army Ballistic Missile Agency,Juno-I,Explorer 1,02/01/1958 3:47 a.m.,"Launch Complex 26A | Cape Canaveral, FL, USA"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,02/05/1958 7:33 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Juno-I | Explorer 2,Launch Failure,Army Ballistic Missile Agency,Juno-I,Explorer 2,03/05/1958 6:27 p.m.,"Launch Complex 26A | Cape Canaveral, FL, USA"
Vanguard | Vanguard,Launch Successful,US Navy,Vanguard,Vanguard,03/17/1958 12:15 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Juno-I | Explorer 3,Launch Successful,Army Ballistic Missile Agency,Juno-I,Explorer 3,03/26/1958 5:38 p.m.,"Launch Complex 26A | Cape Canaveral, FL, USA"
Sputnik 8A91 | D-1 1,Launch Failure,Soviet Space Program,Sputnik 8A91,D-1 1,04/27/1958 7 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,04/29/1958 2:53 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Sputnik 8A91 | D1- 2,Launch Successful,Soviet Space Program,Sputnik 8A91,D1- 2,05/15/1958 7:12 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,05/28/1958 3:46 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,06/26/1958 5 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Project Pilot | NOTS 1,Launch Failure,US Navy,Project Pilot,NOTS 1,07/25/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight
Juno-I | Explorer 4,Launch Successful,Army Ballistic Missile Agency,Juno-I,Explorer 4,07/26/1958 3 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Project Pilot | NOTS 2,Launch Failure,US Navy,Project Pilot,NOTS 2,08/12/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight
Thor Able I | Able I (Pioneer),Launch Failure,Army Ballistic Missile Agency,Thor Able I,Able I (Pioneer),08/17/1958 12:18 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Project Pilot | NOTS 3,Launch Failure,US Navy,Project Pilot,NOTS 3,08/22/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight
Juno-I | Explorer 5,Launch Failure,Army Ballistic Missile Agency,Juno-I,Explorer 5,08/24/1958 6:17 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Project Pilot | NOTS 4,Launch Failure,US Navy,Project Pilot,NOTS 4,08/25/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight
Project Pilot | NOTS 5,Launch Failure,US Navy,Project Pilot,NOTS 5,08/26/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight
Project Pilot | NOTS 6,Launch Failure,US Navy,Project Pilot,NOTS 6,08/28/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight
Vostok-L 8K72 | Luna-1a,Launch Failure,Soviet Space Program,Vostok-L 8K72,Luna-1a,09/23/1958 7:40 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,09/26/1958 3:38 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Thor Able I | Pioneer 1,Launch Successful,Army Ballistic Missile Agency,Thor Able I,Pioneer 1,10/11/1958 8:42 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Vostok-L 8K72 | Luna-1b,Launch Failure,Soviet Space Program,Vostok-L 8K72,Luna-1b,10/11/1958 5:41 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Juno-I | Beacon,Launch Failure,Army Ballistic Missile Agency,Juno-I,Beacon,10/22/1958 11:21 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Thor Able I | Pioneer 2,Launch Failure,Army Ballistic Missile Agency,Thor Able I,Pioneer 2,11/08/1958 2:30 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Vostok-L 8K72 | Luna-1c,Launch Failure,Soviet Space Program,Vostok-L 8K72,Luna-1c,12/04/1958 1:18 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Juno II | Pioneer 3,Launch Successful,National Aeronautics and Space Administration,Juno II,Pioneer 3,12/06/1958 12:44 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Atlas B | SCORE,Launch Successful,US Army,Atlas B,SCORE,12/18/1958 6:02 p.m.,"Launch Complex 11 | Cape Canaveral, FL, USA"
Vostok-L 8K72 | Luna-1,Launch Successful,Soviet Space Program,Vostok-L 8K72,Luna-1,01/02/1959 11:41 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vanguard | Vanguard II,Launch Successful,US Navy,Vanguard,Vanguard II,02/17/1959 10:55 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Thor Agena A | Discoverer 1,Launch Failure,United States Air Force,Thor Agena A,Discoverer 1,02/28/1959 4:49 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Juno II | Pioneer 4,Launch Successful,National Aeronautics and Space Administration,Juno II,Pioneer 4,03/03/1959 12:10 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Thor Agena A | Discoverer 2,Launch Successful,United States Air Force,Thor Agena A,Discoverer 2,04/13/1959 4:18 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,04/13/1959 9:49 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Thor Agena A | Discoverer 3,Launch Failure,United States Air Force,Thor Agena A,Discoverer 3,06/03/1959 4:09 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Vostok-L 8K72 | Luna-2a,Launch Failure,Soviet Space Program,Vostok-L 8K72,Luna-2a,06/18/1959 4:08 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,06/22/1959 4:16 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Thor Agena A | Discoverer 4,Launch Failure,United States Air Force,Thor Agena A,Discoverer 4,06/25/1959 6:47 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Juno II | NASA S-1,Launch Failure,National Aeronautics and Space Administration,Juno II,NASA S-1,07/16/1959 1:37 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Thor Able III | Explorer 6,Launch Successful,United States Air Force,Thor Able III,Explorer 6,08/07/1959 10:24 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Thor Agena A | Discoverer 5,Launch Successful,United States Air Force,Thor Agena A,Discoverer 5,08/13/1959 3 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Juno II | Beacon,Launch Failure,National Aeronautics and Space Administration,Juno II,Beacon,08/14/1959 8:31 p.m.,"Launch Complex 26B | Cape Canaveral, FL, USA"
Thor Agena A | Discoverer 6,Launch Successful,United States Air Force,Thor Agena A,Discoverer 6,08/19/1959 3:24 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Little Joe | LJ-1,Launch Failure,National Aeronautics and Space Administration,Little Joe,LJ-1,08/21/1959 8 a.m.,"Launch Area 1 | Wallops Island, Virginia, USA"
Atlas LV-3B | Big Joe 1,Partial Failure,National Aeronautics and Space Administration,Atlas LV-3B,Big Joe 1,09/09/1959 4:19 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Vostok-L 8K72 | Luna-2,Launch Successful,Soviet Space Program,Vostok-L 8K72,Luna-2,09/12/1959 2:39 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Able II | Transit 1A,Launch Failure,United States Air Force,Thor Able II,Transit 1A,09/17/1959 10:34 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Vanguard | Vanguard III,Launch Successful,US Navy,Vanguard,Vanguard III,09/18/1959 1:20 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Vostok-L 8K72 | Luna-3,Launch Successful,Soviet Space Program,Vostok-L 8K72,Luna-3,10/03/1959 8:43 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Little Joe | LJ-6,Partial Failure,National Aeronautics and Space Administration,Little Joe,LJ-6,10/04/1959 6 a.m.,"Launch Area 1 | Wallops Island, Virginia, USA"
Juno II | Explorer 7,Launch Successful,National Aeronautics and Space Administration,Juno II,Explorer 7,10/13/1959 11:30 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Little Joe | LJ-1A,Partial Failure,National Aeronautics and Space Administration,Little Joe,LJ-1A,11/04/1959 9:30 a.m.,"Launch Area 1 | Wallops Island, Virginia, USA"
Thor Agena A | Discoverer 7,Launch Successful,United States Air Force,Thor Agena A,Discoverer 7,11/07/1959 3:28 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor Agena A | Discoverer 8,Launch Successful,United States Air Force,Thor Agena A,Discoverer 8,11/20/1959 2:25 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Atlas-Able | P-3,Launch Failure,United States Air Force,Atlas-Able,P-3,11/26/1959 2:26 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Little Joe | LJ-2,Launch Successful,National Aeronautics and Space Administration,Little Joe,LJ-2,12/04/1959 11:20 a.m.,"Launch Area 1 | Wallops Island, Virginia, USA"
Little Joe | LJ-1B,Launch Successful,National Aeronautics and Space Administration,Little Joe,LJ-1B,01/21/1960 9:23 a.m.,"Launch Area 1 | Wallops Island, Virginia, USA"
Thor Agena A | Discoverer 9,Launch Failure,United States Air Force,Thor Agena A,Discoverer 9,02/04/1960 1:51 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor Agena A | Discoverer 10,Launch Failure,United States Air Force,Thor Agena A,Discoverer 10,02/19/1960 3:15 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Atlas Agena A | Midas 1,Launch Failure,United States Air Force,Atlas Agena A,Midas 1,02/26/1960 12:25 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Thor Able IV | Pioneer V,Launch Successful,United States Air Force,Thor Able IV,Pioneer V,03/11/1960 8 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Juno II | NASA S-46,Launch Failure,National Aeronautics and Space Administration,Juno II,NASA S-46,03/23/1960 8:35 a.m.,"Launch Complex 26B | Cape Canaveral, FL, USA"
Thor Able II | Tiros 1,Launch Successful,United States Air Force,Thor Able II,Tiros 1,04/01/1960 6:40 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Thor DM-21 Ablestar | Transit 1B,Launch Successful,United States Air Force,Thor DM-21 Ablestar,Transit 1B,04/13/1960 7:02 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Vostok-L 8K72 | Luna-4a,Launch Failure,Soviet Space Program,Vostok-L 8K72,Luna-4a,04/15/1960 10:06 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Agena A | Discoverer 11,Launch Successful,United States Air Force,Thor Agena A,Discoverer 11,04/15/1960 3:30 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Vostok-L 8K72 | Luna-4b,Launch Failure,Soviet Space Program,Vostok-L 8K72,Luna-4b,04/16/1960 11:07 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Delta | Echo,Launch Failure,United States Air Force,Thor Delta,Echo,05/13/1960 5:16 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Vostok 8K72 | Korabl'-Sputnik-1,Launch Successful,Soviet Space Program,Vostok 8K72,Korabl'-Sputnik-1,05/14/1960 8 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas Agena A | Midas 2,Launch Successful,United States Air Force,Atlas Agena A,Midas 2,05/24/1960 1:36 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Thor DM-21 Ablestar | Transit 2A,Launch Successful,United States Air Force,Thor DM-21 Ablestar,Transit 2A,06/22/1960 1:54 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Thor Agena A | Discoverer 12,Launch Failure,United States Air Force,Thor Agena A,Discoverer 12,06/29/1960 6 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Vostok 8K72 | Korabl-Sputnik (2),Launch Failure,Soviet Space Program,Vostok 8K72,Korabl-Sputnik (2),07/28/1960 5:31 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas LV-3B | Mercury-Atlas 1,Launch Failure,National Aeronautics and Space Administration,Atlas LV-3B,Mercury-Atlas 1,07/29/1960 9:13 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Thor Agena A | Discoverer 13,Launch Successful,United States Air Force,Thor Agena A,Discoverer 13,08/10/1960 4:37 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Thor Delta | Echo 1,Launch Successful,United States Air Force,Thor Delta,Echo 1,08/12/1960 5:39 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Thor Agena A | Discoverer 14,Launch Successful,United States Air Force,Thor Agena A,Discoverer 14,08/18/1960 3:57 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor DM-21 Ablestar | Courier 1A,Launch Failure,United States Air Force,Thor DM-21 Ablestar,Courier 1A,08/18/1960 3:58 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Vostok 8K72 | Korabl'-Sputnik-2,Launch Successful,Soviet Space Program,Vostok 8K72,Korabl'-Sputnik-2,08/19/1960 4:44 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Agena A | Discoverer 15,Launch Successful,United States Air Force,Thor Agena A,Discoverer 15,09/13/1960 6:13 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Blue Scout Jr | Blue Scout D-1,Launch Successful,United States Air Force,Blue Scout Jr,Blue Scout D-1,09/21/1960 9:01 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Atlas-Able | P-30 (Able VA),Launch Failure,United States Air Force,Atlas-Able,P-30 (Able VA),09/25/1960 11:13 a.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Scout X-1 | ST-2,Launch Successful,National Aeronautics and Space Administration,Scout X-1,ST-2,10/04/1960 11:23 a.m.,"Launch Area 3 | Wallops Island, Virginia, USA"
Thor DM-21 Ablestar | Courier 1B,Launch Successful,United States Air Force,Thor DM-21 Ablestar,Courier 1B,10/04/1960 1:50 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Molniya 8K78 | Mars-1a,Launch Failure,Soviet Space Program,Molniya 8K78,Mars-1a,10/10/1960 10:27 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas Agena A | Samos 1,Launch Failure,United States Air Force,Atlas Agena A,Samos 1,10/11/1960 4:33 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Molniya 8K78 | Mars-1b,Launch Failure,Soviet Space Program,Molniya 8K78,Mars-1b,10/14/1960 9:51 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor DM-21 Agena-B | Discoverer 16,Launch Failure,United States Air Force,Thor DM-21 Agena-B,Discoverer 16,10/26/1960 4:26 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Juno II | Explorer 8,Launch Successful,National Aeronautics and Space Administration,Juno II,Explorer 8,11/03/1960 12:23 a.m.,"Launch Complex 26B | Cape Canaveral, FL, USA"
Little Joe | LJ-5,Launch Failure,National Aeronautics and Space Administration,Little Joe,LJ-5,11/08/1960 10:18 a.m.,"Launch Area 1 | Wallops Island, Virginia, USA"
Thor DM-21 Agena-B | Discoverer 17,Launch Successful,United States Air Force,Thor DM-21 Agena-B,Discoverer 17,11/12/1960 3:42 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Redstone MRLV | Mercury-Redstone 1,Launch Failure,National Aeronautics and Space Administration,Redstone,Mercury-Redstone 1,11/21/1960 9 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Thor Delta | Tiros 2,Launch Successful,United States Air Force,Thor Delta,Tiros 2,11/23/1960 6:13 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Thor DM-21 Ablestar | Transit 3A,Launch Failure,United States Air Force,Thor DM-21 Ablestar,Transit 3A,11/30/1960 2:50 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Vostok 8K72 | Korabl'-Sputnik-3,Launch Successful,Soviet Space Program,Vostok 8K72,Korabl'-Sputnik-3,12/01/1960 2:30 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Scout X-1 | NASA S-56,Launch Failure,National Aeronautics and Space Administration,Scout X-1,NASA S-56,12/04/1960 4:14 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA"
Thor DM-21 Agena-B | Discoverer 18,Launch Successful,United States Air Force,Thor DM-21 Agena-B,Discoverer 18,12/07/1960 3:20 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Atlas-Able | P-31,Launch Failure,United States Air Force,Atlas-Able,P-31,12/15/1960 4:10 a.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Redstone MRLV | Mercury-Redstone 1A,Launch Successful,National Aeronautics and Space Administration,Redstone,Mercury-Redstone 1A,12/19/1960 11:15 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | Discoverer 19,Launch Successful,United States Air Force,Thor DM-21 Agena-B,Discoverer 19,12/20/1960 3:32 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Vostok | Korabl-Sputnik (4),Launch Failure,Soviet Space Program,Vostok,Korabl-Sputnik (4),12/22/1960 2:45 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Redstone MRLV | Mercury-Redstone 2,Launch Successful,National Aeronautics and Space Administration,Redstone,Mercury-Redstone 2,01/31/1961 11:55 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Atlas LV-3A | Samos 2,Launch Successful,United States Air Force,Atlas Agena B,—,01/31/1961 3:21 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Molniya 8K78 | Venera-1VA 1,Launch Failure,Soviet Space Program,Molniya 8K78,—,02/03/1961 8:18 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Molniya 8K78 | Venera-1VA 2,Launch Successful,Soviet Space Program,Molniya 8K78,—,02/11/1961 7:43 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Scout X-1 | Explorer 9,Launch Successful,National Aeronautics and Space Administration,Scout X-1,—,02/16/1961 8:05 a.m.,"Launch Area 3 | Wallops Island, Virginia, USA"
Thor DM-21 Agena-B | KH-5 1,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-5 1,02/17/1961 3:25 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | Discoverer 21 (MIDAS RM-2),Launch Successful,United States Air Force,Thor DM-21 Agena-B,—,02/18/1961 5:57 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Atlas LV-3B | Mercury-Atlas 2,Launch Successful,National Aeronautics and Space Administration,Atlas LV-3B,Mercury-Atlas 2,02/21/1961 9:10 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Thor DM-21 Ablestar | Transit 3B & LOFTI-1,Partial Failure,United States Air Force,Thor DM-21 Ablestar,—,02/21/1961 10:45 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Juno II | S-45,Launch Failure,Army Ballistic Missile Agency,Juno II,—,02/24/1961 7:13 p.m.,"Launch Complex 26B | Cape Canaveral, FL, USA"
Vostok-K | Sputnik 9,Launch Successful,Soviet Space Program,Vostok,—,03/09/1961 1:29 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Little Joe | LJ-5A,Partial Failure,National Aeronautics and Space Administration,Little Joe,LJ-5A,03/18/1961 11:49 a.m.,"Launch Area 1 | Wallops Island, Virginia, USA"
Redstone MRLV | Mercury-Redstone BD,Launch Successful,National Aeronautics and Space Administration,Redstone,Mercury-Redstone BD,03/24/1961 12:30 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Vostok-K | Sputnik 10,Launch Successful,Soviet Space Program,Vostok,—,03/25/1961 12:54 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Delta DM-19 | Explorer 10,Launch Successful,United States Air Force,Delta DM-19,—,03/25/1961 10:17 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | Discoverer 22,Launch Failure,United States Air Force,Thor DM-21 Agena-B,—,03/30/1961 3:34 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | KH-5 2,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-5 2,04/08/1961 2:21 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Vostok-K | Vostok 1,Launch Successful,Soviet Space Program,Vostok,Vostok 1,04/12/1961 1:07 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Trailblazer 1 | Trailblazer 1g,Launch Successful,National Aeronautics and Space Administration,Trailblazer 1,Trailblazer 1g,04/21/1961 12:56 a.m.,"Unknown Pad | Wallops Island, Virginia, USA"
Atlas LV-3B | Mercury-Atlas 3,Launch Failure,National Aeronautics and Space Administration,Atlas LV-3B,Mercury-Atlas 3,04/25/1961 11:15 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Juno II | Explorer 11,Launch Successful,Army Ballistic Missile Agency,Juno II,—,04/27/1961 9:16 a.m.,"Launch Complex 26B | Cape Canaveral, FL, USA"
Little Joe | LJ-5B,Launch Successful,National Aeronautics and Space Administration,Little Joe,LJ-5B,04/28/1961 9:03 a.m.,"Launch Area 4 | Wallops Island, Virginia, USA"
Redstone MRLV | Mercury-Redstone 3,Launch Successful,National Aeronautics and Space Administration,Redstone,Mercury-Redstone 3,05/05/1961 10:34 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Juno II | S-45A,Launch Failure,Army Ballistic Missile Agency,Juno II,—,05/24/1961 3:48 p.m.,"Launch Complex 26B | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | KH-5 3,Launch Failure,United States Air Force,Thor DM-21 Agena-B,KH-5 3,06/08/1961 5:16 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | Discoverer 25,Launch Successful,United States Air Force,Thor DM-21 Agena-B,—,06/16/1961 7:02 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Thor DM-21 Ablestar | Transit 4A & Injun-1 & Solrad 3,Launch Successful,United States Air Force,Thor DM-21 Ablestar,—,06/29/1961 12:23 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Scout X-1 | S-55,Launch Failure,National Aeronautics and Space Administration,Scout X-1,—,06/30/1961 1:09 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA"
Thor DM-21 Agena-B | Discoverer 26,Launch Successful,United States Air Force,Thor DM-21 Agena-B,—,07/07/1961 7:29 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Delta DM-19 | Tiros-3,Launch Successful,United States Air Force,Delta DM-19,—,07/12/1961 6:25 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Atlas LV-3A | MIDAS 3,Launch Successful,United States Air Force,Atlas Agena B,—,07/12/1961 11:11 a.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA"
Redstone MRLV | Mercury-Redstone 4,Launch Successful,National Aeronautics and Space Administration,Redstone,Mercury-Redstone 4,07/21/1961 8:20 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | KH-5 4,Launch Failure,United States Air Force,Thor DM-21 Agena-B,KH-5 4,07/21/1961 6:35 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | Discoverer 28,Launch Failure,United States Air Force,Thor DM-21 Agena-B,—,08/03/1961 8:01 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Vostok-K | Vostok 2,Launch Successful,Soviet Space Program,Vostok,Vostok 2,08/06/1961 2 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Delta DM-19 | Explorer 12,Launch Successful,United States Air Force,Delta DM-19,—,08/15/1961 11:21 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Blue Scout Jr | O-1,Launch Successful,United States Air Force,Blue Scout Jr,O-1,08/17/1961 10:29 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Atlas LV-3A | Ranger 1,Partial Failure,United States Air Force,Atlas Agena B,—,08/23/1961 6:04 a.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Scout X-1 | Explorer 13,Launch Failure,National Aeronautics and Space Administration,Scout X-1,—,08/25/1961 2:29 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA"
Thor DM-21 Agena-B | Discoverer 29,Launch Successful,United States Air Force,Thor DM-21 Agena-B,—,08/30/1961 4 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Atlas LV-3A | Samos 3,Launch Failure,United States Air Force,Atlas Agena B,—,09/09/1961 3:28 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | Discoverer 30,Launch Successful,United States Air Force,Thor DM-21 Agena-B,—,09/12/1961 3:59 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Atlas LV-3B | Mercury-Atlas 4,Launch Successful,National Aeronautics and Space Administration,Atlas LV-3B,Mercury-Atlas 4,09/13/1961 10:04 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | Discoverer 31,Launch Successful,United States Air Force,Thor DM-21 Agena-B,—,09/17/1961 5 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | Discoverer 32,Launch Successful,United States Air Force,Thor DM-21 Agena-B,—,10/13/1961 3:22 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Scout X-1 | P-21,Launch Successful,National Aeronautics and Space Administration,Scout X-1,P-21,10/19/1961 1:38 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA"
